number,path,date,time,white,black,white elo,black elo,time control,event,moves
0,hbqw1y2x,2014.01.01,15:45:15,jap-2,Sasunik,1619,1474,300+2,Rated Blitz game,1. e4 e5 2. Bc4 Nc6 3. Nf3 Nd4 4. d3 Nxf3+ 5. Qxf3 Nf6 6. Bg5 Be7 7. Be3 d6 8. h3 h6 9. Nc3 b6 10. Bd5 Rab8 11. O-O O-O 12. Qg3 Nh5 13. Qf3 Nf6 14. Bc6 Bd7 15. Bd5 c6 16. Bb3 Be6 17. Ne2 Bxb3 18. axb3 d5 19. Ng3 dxe4 20. Nxe4 Nxe4 21. dxe4 Qd7 22. Rfd1 Qe6 23. Rxa7 Rba8 24. Rb7 Ra2 25. Qg3 Qg6 26. Qxg6 fxg6 27. Rxe7 Rxb2 28. Rxe5 Rxc2 29. Re6 g5 30. Rc1 Rb2 31. Rc3 Rb1+ 32. Kh2 c5 33. Rxb6 Rf6 34. Rxf6 gxf6 35. Bxc5 Kf7 36. b4 Ke6 37. Rd3 Rb2 38. f3 Ke5 39. Bd6+ Ke6 40. Rd4 Rb3 41. Bg3 f5 42. Rd6+ Kf7 43. exf5 Rxb4 44. Rxh6 Rb5 45. f6 Rb6 46. Be5 Re6 47. Rh7+ Kg6 48. Re7 Rxe7 49. fxe7 Kf7 50. Bd6 Ke8 51. Kg3 Kf7 52. Kg4 Ke8 53. Kxg5 Kf7 54. h4 Ke8 55. h5 Kf7 56. h6 Ke8 57. Kg6 Kd7 58. h7 Ke8 59. f4 Kd7 60. f5 Ke8 61. Bb4 Kd7 62. Kf6 Ke8 63. Ke5 Kd7 64. f6 Ke8 65. g3 Kd7 66. g4 Ke8 67. g5 Kf7 68. Kf5 Ke8 69. g6 Kd7 70. Ke5 Ke8 71. Kd5 Kd7 72. Kc5 Ke8 73. f7+ Kxe7 74. Kc6+ Ke6 75. Kc7 Kf6 76. Kd7 Kxg6 77. Ke8 Kg7 78. Ke7 Kxh7 79. Kf6 Kh6 80. Bd2+ Kh7 81. Bg5 Kh8 82. Bf4 Kh7 83. Be5 Kh8 84. Kg6# 1-0
0,n7k48n0j,2014.01.01,22:23:38,brenner,matthias12345,1851,1713,180+0,Rated Blitz game,1. d4 g6 2. c4 Bg7 3. Nc3 b6 4. Nf3 Bb7 5. e4 e6 6. Bd3 Ne7 7. Bg5 O-O 8. e5 d6 9. Ne4 dxe5 10. Nf6+ Bxf6 11. Bxf6 Nd7 12. dxe5 Nxf6 13. exf6 Nf5 14. Bxf5 exf5 15. Qxd8 Raxd8 16. Rad1 Bxf3 17. gxf3 Rxd1+ 18. Kxd1 Re8 19. Re1 Re6 20. Kd2 Rd6+ 21. Kc3 c5 22. Re7 Rxf6 23. Rxa7 Kg7 24. Rb7 h5 25. f4 Re6 26. a4 Kf6 27. a5 bxa5 28. Rb5 g5 29. Rxc5 Ra6 30. fxg5+ Kxg5 31. b4 axb4+ 32. Kxb4 Kg4 33. Kb5 Ra1 34. Re5 f4 35. c5 f5 36. f3+ Kxf3 37. Rxf5 h4 38. c6 Rc1 39. Kb6 Kg4 40. Rf8 f3 41. c7 h3 42. c8=Q+ Rxc8 43. Rxc8 f2 44. Rg8+ Kf3 45. Rf8+ Kg2 46. Rg8+ Kxh2 47. Rf8 Kg2 48. Rg8+ Kf1 49. Kc5 h2 50. Rh8 Kg1 51. Kd4 f1=Q 52. Rg8+ Kh1 53. Ke3 Qc1+ 54. Kf2 Qd2+ 55. Kf1 Qf4+ 56. Ke1 Qe5+ 57. Kf2 Qf5+ 58. Ke1 Qe6+ 59. Kf2 Qxg8 60. Kf1 Qg2+ 61. Ke1 Kg1 62. Kd1 h1=Q 63. Ke1 Kh2# 0-1
0,pv4lv6sd,2014.01.02,17:35:43,gysbertus,564jl2,1412,1430,300+10,Rated Classical game,1. d4 d5 2. c4 e6 3. cxd5 exd5 4. Nc3 Nf6 5. Bg5 Be6 6. e4 h6 7. Bxf6 gxf6 8. exd5 Bxd5 9. Nxd5 Qxd5 10. Nf3 Nc6 11. Be2 Bg7 12. Qc2 O-O-O 13. O-O Nxd4 14. Nxd4 Qxd4 15. Rad1 Qe5 16. Rxd8+ Rxd8 17. Rd1 Rxd1+ 18. Bxd1 f5 19. h3 Qxb2 20. Qxb2 Bxb2 21. g4 fxg4 22. Bxg4+ Kd8 23. f4 b6 24. f5 c5 25. Bh5 f6 26. Kf1 Ke7 27. Ke2 Kd6 28. Kd3 Kd5 29. Kc2 Be5 30. Kb3 a5 31. Ka4 c4 32. Kb5 c3 33. Kxb6 c2 34. Kxa5 c1=Q 35. Bf3+ Kd4 36. a4 Qc3+ 37. Kb5 Qxf3 38. a5 Qb3+ 39. Ka6 Kd3 40. h4 Qc4+ 41. Kb7 Bd4 42. h5 Qd5+ 43. Ka6 Qxf5 44. Kb7 Qxh5 45. Ka6 f5 46. Kb7 f4 47. Ka6 f3 48. Kb7 f2 49. Ka6 f1=Q 50. Kb7 Qhf7+ 51. Ka6 Kc2# 0-1
0,s0d0rkvz,2014.01.03,01:07:29,Soltor,IvTK,1851,1966,300+0,Rated Blitz game,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nf6 5. Nxc6 bxc6 6. Bd3 d5 7. e5 Qe7 8. O-O Nd7 9. Bf4 Qb4 10. Qf3 Qxb2 11. Nd2 Be7 12. e6 fxe6 13. Qh5+ Kd8 14. Rfb1 Qf6 15. Nf3 h6 16. Ng5 g6 17. Bxg6 hxg5 18. Bxg5 Rxh5 19. Bxf6 Bxf6 20. Bxh5 Bxa1 21. Rxa1 Nf6 22. Bg6 Rb8 23. h4 Ke7 24. h5 Bd7 25. a4 Be8 26. Bxe8 Rxe8 27. Rb1 Nxh5 28. Rb7 Kd6 29. Rxa7 Rb8 30. g3 Nf6 31. Kg2 Rb2 32. Kf3 Rxc2 33. Ra8 Rc3+ 34. Ke2 Ra3 35. Rf8 Ke7 36. Ra8 Ne4 37. a5 Ra2+ 38. Ke3 Rxf2 39. a6 Ra2 40. a7 Nd6 41. Kd4 Nb5+ 42. Kc5 Rxa7 43. Rh8 Rb7 44. Rh7+ Kf6 45. Rh6+ Ke5 46. Kxc6 Rb6+ 47. Kc5 Nd6 48. Rh5+ Nf5 49. g4 Rb1 50. gxf5 exf5 51. Rh7 Rc1+ 52. Kb4 c5+ 53. Kb3 f4 54. Re7+ Kd4 55. Rf7 Rf1 56. Rf5 f3 57. Rf4+ Ke3 58. Rf5 Rd1 59. Re5+ Kf2 60. Rf5 Kg2 61. Rg5+ Kf1 62. Rf5 f2 63. Kb2 d4 64. Re5 Rd2+ 65. Kc1 Re2 66. Rf5 Ke1 67. Rxc5 f1=Q 68. Rh5 Kf2# 0-1
5,6frw5yut,2014.01.04,15:51:03,bozo1,jim1358,1793,1500,300+0,Rated Blitz game,1. e4 d5 2. exd5 Qxd5 3. Be2 Nc6 4. Nf3 Qe6 5. O-O Qd6 6. d4 e6 7. a3 Be7 8. c4 h6 9. c5 Qd7 10. Nc3 g5 11. Be3 g4 12. Ne5 Nxe5 13. dxe5 Qc6 14. b4 h5 15. Bb5 Qxb5 16. Nxb5 c6 17. Nc7+ Kf8 18. Nxa8 Kg7 19. Nc7 Bf8 20. Ne8+ Kh7 21. Qd3+ f5 22. exf6# 1-0
0,940488ss,2014.01.05,13:54:36,Sergio_Lione,venburro,1122,1274,600+8,Rated Classical game,1. e4 e5 2. g3 Qf6 3. Qe2 Bc5 4. Nf3 b6 5. Bg2 Ba6 6. a3 Bxe2 7. Kxe2 Nh6 8. b4 Bd6 9. c3 c5 10. Bb2 a5 11. d4 axb4 12. axb4 Rxa1 13. Bxa1 exd4 14. cxd4 cxd4 15. Bxd4 Be5 16. Rd1 Nc6 17. Bxb6 Nd4+ 18. Ke3 Qxb6 19. Rxd4 Bxd4+ 20. Nxd4 Ng4+ 21. Kd3 Nxf2+ 22. Ke3 Nd1+ 23. Kd3 Nf2+ 24. Kc4 Qa6+ 25. b5 Qa2+ 26. Kc5 Nd3+ 27. Kd6 Qxg2 28. b6 Qxe4 29. Nc3 Qxd4+ 30. Kc7 Qxc3+ 31. Kb7 Nc5+ 32. Ka7 Qa5+ 33. Kb8 Qxb6+ 34. Kc8 Ke7# 0-1
0,riqjrmgd,2014.01.05,14:28:03,tocaifriulano,Geol17,1910,1688,120+1,Rated Bullet game,1. c4 c5 2. Nf3 e6 3. d4 d5 4. Nc3 Nf6 5. Bg5 Be7 6. e3 Nc6 7. dxc5 Bxc5 8. cxd5 exd5 9. Be2 O-O 10. O-O Bg4 11. Bxf6 Qxf6 12. Nxd5 Qd8 13. Nc3 Bb6 14. Qa4 Bh5 15. Rfd1 Qf6 16. Rab1 Qh6 17. Nd5 Bxf3 18. Bxf3 Bd8 19. Qe4 Bf6 20. Nxf6+ Qxf6 21. Rd7 Rab8 22. b3 Ne5 23. Rd4 Nxf3+ 24. gxf3 Rfe8 25. Qg4 Re5 26. Kh1 Rg5 27. Qh3 Qg6 28. Rbd1 h6 29. Rg4 Re8 30. Rdg1 Ree5 31. f4 Rxg4 32. Qxg4 Qxg4 33. Rxg4 Rc5 34. Kg2 Rc2 35. a4 a6 36. f5 f6 37. Rb4 Rc7 38. Rb6 Kf7 39. f4 g6 40. fxg6+ Kxg6 41. Kf3 h5 42. h4 Kf7 43. f5 Rc5 44. Rxb7+ Kf8 45. e4 Rc3+ 46. Kf4 Rc1 47. Rb6 Rf1+ 48. Ke3 Rg1 49. Rxf6+ Kg7 50. Rg6+ Rxg6 51. fxg6 Kxg6 52. Kf4 Kf6 53. e5+ Kg6 54. Ke4 Kf7 55. Kd5 Kg6 56. e6 Kf5 57. e7 Kg4 58. e8=Q Kxh4 59. Qg6 Kh3 60. b4 h4 61. b5 Kh2 62. bxa6 h3 63. a7 Kh1 64. a8=Q h2 65. Kd6# 1-0
0,19kdb20x,2014.01.05,18:24:03,cafarelli,A_P,1168,1398,300+8,Rated Classical game,1. d4 { [%eval 0.24] } 1... d6 { [%eval 0.44] } 2. Nc3 { [%eval 0.46] } 2... Nf6 { [%eval 0.54] } 3. Bg5 { [%eval 0.31] } 3... g6 { [%eval 0.39] } 4. Bxf6 { [%eval 0.12] } 4... exf6 { [%eval 0.18] } 5. Qd2 { [%eval 0.11] } 5... Bg7 { [%eval 0.19] } 6. Nf3 { [%eval 0.03] } 6... Nc6 { [%eval 0.0] } 7. e4 { [%eval -0.33] } 7... b6?! { [%eval 0.29] } 8. d5 { [%eval 0.29] } 8... Ne7 { [%eval 0.22] } 9. Bb5+ { [%eval 0.24] } 9... Kf8 { [%eval 0.71] } 10. Bc6?! { [%eval 0.05] } 10... Nxc6 { [%eval 0.1] } 11. dxc6 { [%eval 0.14] } 11... Qe8?! { [%eval 0.86] } 12. Qd5? { [%eval -0.98] } 12... f5 { [%eval -1.01] } 13. Kd1?! { [%eval -1.68] } 13... Be6 { [%eval -1.65] } 14. Qd2 { [%eval -1.63] } 14... fxe4 { [%eval -1.68] } 15. Nxe4?! { [%eval -2.26] } 15... Bxb2 { [%eval -2.36] } 16. Rab1 { [%eval -2.25] } 16... Bg7 { [%eval -2.43] } 17. Rhe1 { [%eval -2.5] } 17... Qxc6 { [%eval -2.43] } 18. Nfg5? { [%eval -5.35] } 18... Bh6?? { [%eval 4.0] } 19. f4?? { [%eval -2.94] } 19... Bg7? { [%eval -1.8] } 20. Nxe6+ { [%eval -1.7] } 20... fxe6 { [%eval -1.81] } 21. Ng5? { [%eval -3.2] } 21... Qxg2?? { [%eval 15.53] } 22. Qxg2 { [%eval 15.64] } 22... Bc3?! { [%eval #8] } 23. Qxa8+ { [%eval 120.79] } 23... Kg7?! { [%eval #7] } 24. Nxe6+ { [%eval #6] } 24... Kh6 { [%eval #3] } 25. Qxh8?! { [%eval 14.61] } 25... Bxe1?! { [%eval #2] } 26. Kxe1?! { [%eval #4] } 26... g5 { [%eval #2] } 27. fxg5+?! { [%eval #3] } 27... Kh5 { [%eval #3] } 28. Qxh7+ { [%eval #2] } 28... Kg4 { [%eval #2] } 29. g6?! { [%eval #4] } 29... Kf3 { [%eval #3] } 30. g7 { [%eval #2] } 30... Kg2 { [%eval #2] } 31. g8=Q+ { [%eval #1] } 31... Kh1 { [%eval #1] } 32. Kd2# 1-0
0,3dwbglfv,2014.01.08,19:33:33,Roja,vladikek2,1080,1179,1080+8,Rated Classical game,1. e4 e5 2. d3 c6 3. f3 d5 4. Ne2 dxe4 5. fxe4 g6 6. g3 f5 7. h4 fxe4 8. Bg5 Qd5 9. c4 Qxd3 10. Qc1 Be6 11. Nec3 Qxg3+ 12. Kd1 Qf3+ 13. Ne2 Qxh1 14. Qd2 Qxf1+ 15. Kc2 Bg4 16. Nbc3 Bc5 17. Nxe4 Bd4 18. Nd6+ Kf8 19. Bh6+ Nxh6 20. Qxh6+ Ke7 21. Nxb7 Qxa1 22. Qg7+ Ke6 23. Qxh8 Qxb2+ 24. Kd1 Bxe2+ 25. Ke1 Bc3+ 26. Kf2 Bxc4+ 27. Ke3 Qd2+ 28. Kf3 Qd3+ 29. Kg4 e4 30. Qe8+ Kd5 31. Qf7+ Kd4 32. Qd7+ Nxd7 33. Nd6 Qf3+ 34. Kg5 e3 35. Kh6 Qh5+ 36. Kg7 Kd3# 0-1
0,xvva6yso,2014.01.09,14:46:17,honar8,Iman1,1306,1397,240+0,Rated Blitz game,1. d4 d5 2. e4 dxe4 3. Nc3 f5 4. f3 exf3 5. gxf3 f4 6. Nh3 g5 7. Nxg5 Bh6 8. h4 Nf6 9. Qe2 Qd7 10. Qc4 Rhf8 11. Bh3 Qc6 12. Qxc6+ bxc6 13. Bxc8 Na6 14. Bxf4 Raxc8 15. d5 cxd5 16. O-O Nb4 17. Nb5 Nxc2 18. Rac1 Nd4 19. Nxd4 c5 20. Nde6 Rfg8 21. Nxc5 d4 22. Nce6 Rxc1 23. Rxc1 Kd7 24. Nc5+ Kc6 25. b4 Kd5 26. a4 a5 27. bxa5 Bxg5 28. Bxg5 Nh5 29. f4 Nxf4 30. Kh2 Ne2 31. Rc2 d3 32. Rd2 Kxc5 33. Bxe7+ Kc6 34. a6 Kb6 35. Rxd3 Kxa6 36. Rd6+ Ka5 37. Rd2 Nf4 38. Rf2 Nd5 39. Bf6 Nxf6 40. Rxf6 Kxa4 41. Rf4+ Kb3 42. Rf3+ Kc4 43. Rf4+ Kc3 44. Rf3+ Kd4 45. Rf4+ Ke3 46. Rf7 Ke2 47. Kh3 Ke3 48. Rxh7 Ke4 49. Re7+ Kf5 50. h5 Kg5 51. Rh7 Kf4 52. h6 Rg3+ 53. Kh4 Rg4+ 54. Kh5 Rg5+ 55. Kh4 Rg4+ 56. Kh5 Rg5+ 57. Kh4 Rg4+ 58. Kh5 Rg5+ 59. Kh4 Rg4+ 60. Kh5 Kg3 61. Rg7 Kh3 62. Rxg4 Kh2 63. h7 Kh1 64. h8=Q Kh2 65. Kg6# 1-0
