number,path,date,time,white,black,white elo,black elo,time control,event,moves
0,csrzdu82,2013.01.01,20:23:57,Trebizonde,FF4,1715,1508,300+10,Rated Classical game,1. e4 b6 2. d4 Bb7 3. Nc3 e6 4. d5 exd5 5. exd5 Qe7+ 6. Qe2 c6 7. dxc6 Nxc6 8. Qxe7+ Bxe7 9. Nf3 O-O-O 10. Bd3 Nb4 11. O-O Bxf3 12. gxf3 Nxd3 13. cxd3 Bf6 14. Re1 Nh6 15. Bf4 g5 16. Bg3 Rhg8 17. Rad1 g4 18. fxg4 Rxg4 19. Re2 Nf5 20. h3 Rb4 21. Rc2 Nxg3 22. Nd5+ Kb7 23. Nxb4 Bd4 24. Kg2 Nf5 25. Nd5 Rg8+ 26. Kf1 Rg5 27. Rc7+ Ka6 28. Rxd7 Bxb2 29. Rb1 Ba3 30. Rb3 Bc5 31. Rxf7 Nd4 32. Nb4+ Ka5 33. Rxa7+ Kb5 34. Na6+ Nxb3 35. axb3 Rf5 36. Nb8 Rxf2+ 37. Ke1 Rf3 38. Rxh7 Bf2+ 39. Kd2 Bg3 40. Rh5+ Kb4 41. Kc2 Bxb8 42. d4 Rc3+ 43. Kd2 Rxb3 44. d5 Bf4+ 45. Ke2 Kc4 46. Rf5 Rb2+ 47. Kf3 Bd6 48. h4 Rd2 49. h5 Rxd5 50. Rxd5 Kxd5 51. h6 Be5 52. h7 Bh8 53. Ke3 Kc4 54. Kd2 b5 55. Kc1 b4 56. Kb1 b3 57. Kc1 Kb4 58. Kb1 Kc3 59. Ka1 Kc2# 0-1
5,54hn3enz,2013.01.02,22:36:09,sonie,Romoda,1842,2017,120+0,Rated Bullet game,1. e4 c5 2. f4 e6 3. Nf3 Nf6 4. e5 Nd5 5. d3 d6 6. Nc3 dxe5 7. Nxd5 Qxd5 8. fxe5 Nc6 9. Bf4 h6 10. Qe2 g5 11. Bg3 Bg7 12. O-O-O Qxa2 13. d4 Qa1+ 14. Kd2 Qxb2 15. dxc5 O-O 16. Qc4 Rd8+ 17. Ke2 Na5 18. Rxd8+ Kh7 19. Qd3+ f5 20. exf6# 1-0
4,hwhgwdox,2013.01.05,01:23:57,WinChesster,yooh_,1529,1670,480+3,Rated Classical game,1. e4 Nc6 2. Bc4 Nf6 3. Nc3 Nxe4 4. Nxe4 d5 5. Bxd5 Qxd5 6. Qe2 Bf5 7. d3 Nd4 8. c4 Qc6 9. Qd1 Bxe4 10. dxe4 Qxc4 11. b3 Nc2+ 12. Kd2 O-O-O# 0-1
0,57m5lrao,2013.01.18,18:33:10,fatossahiti,rdml,1688,1738,240+0,Rated Blitz game,1. d4 d5 2. c3 c6 3. Nf3 Nd7 4. g3 Ngf6 5. Bg2 e6 6. O-O Bd6 7. a4 h5 8. Bg5 e5 9. b4 e4 10. Ne5 Nxe5 11. dxe5 Bxe5 12. e3 Be6 13. b5 Qd6 14. bxc6 bxc6 15. Bxf6 Bxf6 16. Bxe4 Qd7 17. Bg2 h4 18. e4 hxg3 19. fxg3 Bh3 20. exd5 Bxg2 21. Kxg2 Qh3+ 22. Kf3 Qxh2 23. Re1+ Kf8 24. d6 Rh3 25. Rg1 Be5 26. Qe1 Bxd6 27. Nd2 Re8 28. Ne4 f5 29. Rh1 fxe4+ 30. Kg4 Rxg3+ 31. Kf5 Rf3+ 32. Kg4 Qf4+ 33. Kh5 Re5+ 34. Kg6 Rg3+ 35. Kh7 Qf5+ 36. Kh8 Re8 37. Qxg3 Kf7# 0-1
0,naui1h3j,2013.01.22,04:46:18,Jarno,MonaBlue,1624,1572,300+0,Rated Blitz game,1. e4 e5 2. Nf3 d6 3. d4 exd4 4. Nxd4 Be7 5. Nf5 Bxf5 6. exf5 Nf6 7. Bd3 O-O 8. Be3 c5 9. b3 Nc6 10. O-O a6 11. c4 Ne5 12. Be4 Rb8 13. Bc2 b5 14. cxb5 axb5 15. Nc3 d5 16. Bf4 Bd6 17. Nxd5 Nxd5 18. Qxd5 Qf6 19. Rad1 Rfd8 20. Qe4 Re8 21. g3 Ng6 22. Qc6 Nxf4 23. gxf4 Bxf4 24. Qxf6 gxf6 25. a4 bxa4 26. bxa4 Re2 27. Bd3 Ra2 28. Bb5 c4 29. Bxc4 Rxa4 30. Bd3 Kg7 31. f3 Rg8 32. Be4 Ra2 33. Kh1 Rxh2+ 34. Kg1 Kh8# 0-1
0,xevv74es,2013.01.27,22:04:29,mistergrey,DATCHESSNIGGA,1384,1387,600+10,Rated Classical game,1. d4 d5 2. c4 dxc4 3. Nc3 Nc6 4. e3 Nf6 5. d5 Ne5 6. e4 c6 7. Qa4 Bd7 8. Bxc4 cxd5 9. Bb5 Qb6 10. exd5 Bxb5 11. Nxb5 Nd3+ 12. Ke2 Nxf2 13. Nd6+ Kd8 14. Be3 Qxb2+ 15. Kf3 exd6 16. Qa5+ b6 17. Bxb6+ axb6 18. Qxa8+ Ke7 19. Qb7+ Nd7 20. Ne2 Qf6+ 21. Nf4 Nxh1 22. Re1+ Kd8 23. Qa8+ Kc7 24. Qc6+ Kd8 25. Rc1 Ne5+ 26. Ke4 Nxc6 27. Rxc6 Qe5+ 28. Kf3 g5 29. Nd3 Qf5+ 30. Ke3 Qf2+ 31. Ke4 Qe2+ 32. Kd4 Bg7+ 33. Kc4 Qe4+ 34. Kb3 Qxd3+ 35. Kb4 Qd4+ 36. Ka3 Qb2+ 37. Ka4 Qxa2+ 38. Kb5 Qxd5+ 39. Kxb6 Bd4+ 40. Kb7 Qb5+ 41. Ka8 Qxc6+ 42. Kb8 Qc7+ 43. Ka8 Kd7# 0-1
0,fdyz2wxy,2013.01.28,06:55:41,Moham20,rusak,1219,1583,300+2,Rated Blitz game,1. d4 d6 2. Nc3 Nc6 3. Nf3 Bg4 4. e3 e5 5. h3 Bxf3 6. gxf3 Be7 7. Bb5 exd4 8. exd4 Nf6 9. d5 a6 10. Ba4 b5 11. Bb3 Ne5 12. Bg5 h6 13. Bxf6 Bxf6 14. f4 Ng6 15. Rg1 O-O 16. Qd3 Nxf4 17. Qf5 Re8+ 18. Ne2 Rxe2+ 19. Kd1 Be5 20. Rg4 Rxf2 21. Ke1 Nd3+ 22. cxd3 Rxf5 23. Bc2 Qf6 24. d4 Rf1+ 25. Kd2 Qf2+ 26. Kc3 Qxd4+ 27. Rxd4 Bxd4+ 28. Kxd4 Rxa1 29. Ke4 Rxa2 30. Kf5 Rxb2 31. Be4 Rh2 32. h4 Rxh4 33. Bf3 b4 34. Bh5 b3 35. Bxf7+ Kf8 36. Ke6 Re4+ 37. Kf5 Re5+ 38. Kg6 b2 39. Kh7 b1=Q+ 40. Kh8 Kxf7# 0-1
0,b4jojmfw,2013.01.28,11:52:26,garciajunior,Tobillo,1604,1513,240+3,Rated Blitz game,1. d4 e6 2. c4 c5 3. d5 d6 4. e4 Ne7 5. Nc3 Ng6 6. Nf3 Qe7 7. Bg5 f6 8. Bh4 Bd7 9. Bg3 exd5 10. Nxd5 Qxe4+ 11. Be2 Na6 12. Qb3 Bc6 13. Rd1 Be7 14. Nxe7 Qxe7 15. Bxd6 Qe6 16. O-O Rd8 17. Bd3 Kf7 18. Bxg6+ hxg6 19. Bg3 Nb4 20. Rfe1 Rxd1 21. Rxd1 Be8 22. a3 Nc6 23. Qxb7+ Kf8 24. Qb3 Ne5 25. Nxe5 fxe5 26. Qf3+ Qf6 27. Qxf6+ gxf6 28. h3 Bc6 29. Rd6 Bb7 30. Rxf6+ Kg7 31. Bxe5 Kh6 32. Rxg6+ Kxg6 33. Bxh8 a5 34. Bc3 a4 35. g3 Bf3 36. Kh2 Kh5 37. Ba5 Kg5 38. Bb6 Kf5 39. Bxc5 Ke6 40. Bb4 Ke5 41. c5 Kd5 42. g4 Kc6 43. Kg3 Be4 44. g5 Bg6 45. h4 Bh5 46. Kf4 Kd7 47. Kf5 Bf3 48. Kf6 Ke8 49. g6 Bc6 50. f4 Kf8 51. h5 Kg8 52. h6 Be8 53. h7+ Kh8 54. f5 Bd7 55. Bc3 Bxf5 56. Kxf5# 1-0
0,w4gcu1ad,2013.01.29,08:50:30,jewbutcher,chert843,1951,2042,120+1,Rated Bullet game,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O d6 5. c3 Bg4 6. d3 Qf6 7. Be3 Nge7 8. Bxc5 dxc5 9. a3 Ng6 10. Nbd2 Nh4 11. Qb3 Nxf3+ 12. Nxf3 Bxf3 13. gxf3 O-O 14. Qxb7 Na5 15. Qxc7 Nxc4 16. dxc4 Rac8 17. Qxa7 Qxf3 18. Qe7 Rc6 19. Qxe5 Rg6+ 20. Qg3 Rxg3+ 21. fxg3 Qxe4 22. Rae1 Qxc4 23. Rf2 h5 24. Rfe2 g6 25. Kg2 Kg7 26. h4 Rd8 27. Rf2 Rd3 28. Ref1 Qd5+ 29. Kh2 Rd2 30. Kg1 Rd3 31. Kh2 g5 32. hxg5 Qxg5 33. Rxf7+ Kg6 34. Rf7f6+ Qxf6 35. Rxf6+ Kxf6 36. Kh3 Kg5 37. b4 cxb4 38. cxb4 Rxa3 39. Kg2 Rb3 40. Kf2 Rxb4 41. Kf3 Rb3+ 42. Ke4 Rxg3 43. Kd4 h4 44. Ke4 h3 45. Ke5 h2 46. Ke6 h1=Q 47. Kf7 Qh6 48. Kg8 Kf6# 0-1
1,majdyslf,2013.01.31,13:45:54,danshingennady2012,01_,1743,1500,300+15,Rated Classical game,1. e4 e5 2. Nf3 Qf6 3. Bc4 h6 4. d4 exd4 5. Nxd4 c5 6. Nf5 Nc6 7. O-O Nge7 8. Nc3 Nxf5 9. Nd5 Qd6 10. Bf4 Ne5 11. exf5 f6 12. Re1 Be7 13. Qh5+ Kd8 14. Rad1 b6 15. Nxe7 Qxe7 16. Bd5 Rb8 17. Bxe5 fxe5 18. f4 d6 19. fxe5 dxe5 20. Be6+ Kc7 21. Rxe5 Re8 22. Qe2 Bxe6 23. Rxe6 Qf7 24. Qe5+ Kb7 25. Qd5+ Ka6 26. Rxb6+ axb6 27. Qxf7 Rf8 28. Qc4+ Ka7 29. Rd7+ Rb7 30. Qa4+ Kb8 31. Rxb7+ Kxb7 32. Qd7+ Ka6 33. c4 Rf6 34. a3 g6 35. Qe6 Rxf5 36. Qxg6 Rf4 37. b3 Rd4 38. Qxh6 Rd3 39. Qc6 Ka7 40. Qb5 Kb7 41. a4 Rd1+ 42. Kf2 Ra1 43. b4 Rb1 44. bxc5 Rh1 45. h3 Ra1 46. Qxb6+ Ka8 47. a5 Rf1+ 48. Ke3 Rf3+ 49. Kd4 Rd3+ 50. Ke5 Re3+ 51. Kf6 Rf3+ 52. Ke6 Rf6+ 53. Kd5 Rf5+ 54. Kc6 Rf6+ 55. Kb5 Rf4 56. a6 Rf7 57. c6 Rf5+ 58. c5 Rf7 59. Qb7+ Rxb7+ 60. cxb7+ Ka7 61. c6 Kb8 62. g4 Ka7 63. g5 Kb8 64. g6 Ka7 65. g7 Kb8 66. g8=Q+ Kc7 67. b8=B# 1-0
