number,path,date,time,white,black,white elo,black elo,time control,event,moves
0,qBNe4E93,2014.07.01,05:31:03,FERDOS,coffeemachine,1606,1497,600+8,Rated Classical game,1. e3 d5 2. b3 e5 3. Qh5 Nc6 4. Bb5 Bd6 5. Bb2 Nf6 6. Bxc6+ bxc6 7. Qg5 O-O 8. Bxe5 Bxe5 9. Qxe5 Re8 10. Qc3 d4 11. Qxc6 Bf5 12. Nf3 Bxc2 13. Qxc2 dxe3 14. fxe3 Ng4 15. h3 Qf6 16. Nc3 Ne5 17. Nxe5 Qxe5 18. O-O-O a5 19. g4 a4 20. Nxa4 Qa1+ 21. Qb1 Qe5 22. h4 c5 23. g5 Rab8 24. Rhf1 c4 25. Rf5 Qc7 26. Rc5 Qd6 27. Rxc4 Rec8 28. Qe4 Qa3+ 29. Kb1 Rxb3+ 30. axb3 Qxb3+ 31. Kc1 Rxc4+ 32. Nc3 Qa3+ 33. Kc2 Qa4+ 34. Kd3 Rxe4 35. Nxa4 Re8 36. Nc3 Rd8+ 37. Kc2 Rc8 38. Kd3 Rd8+ 39. Ke2 Rc8 40. Rb1 Rd8 41. Nd5 h6 42. Ne7+ Kf8 43. Nc6 Rc8 44. Ne5 Ke7 45. Rb7+ Ke6 46. Nxf7 h5 47. d4 Kf5 48. Ne5 Ke4 49. Kd2 Ra8 50. Rb2 Ra3 51. Nc4 Rd3+ 52. Ke2 g6 53. Rb6 Rc3 54. Re6+ Kd5 55. Re5+ Kxc4 56. Rc5+ Kb3 57. Rxc3+ Kxc3 58. Kf3 Kc4 59. Ke4 Kb5 60. Ke5 Kc6 61. d5+ Kd7 62. e4 Ke7 63. d6+ Kd7 64. Kd5 Ke8 65. Ke6 Kd8 66. e5 Ke8 67. d7+ Kd8 68. Kf7 Kxd7 69. Kxg6 Ke6 70. Kxh5 Kxe5 71. Kg6 Ke6 72. h5 Ke7 73. Kg7 Ke8 74. g6 Ke7 75. h6 Ke6 76. h7 Kf5 77. h8=Q Kg5 78. Kh7 Kh5 79. g7 Kh4 80. g8=Q Kh5 81. Qg6+ Kh4 82. Kg8# 1-0
2,NUM69Thh,2014.07.01,12:35:54,asghar9431,mehdi56,1689,1719,300+0,Rated Blitz game,1. d4 { [%eval 0.17] } 1... b6?! { [%eval 0.76] } 2. e4 { [%eval 0.57] } 2... Bb7 { [%eval 0.56] } 3. f3 { [%eval 0.2] } 3... e6 { [%eval 0.15] } 4. c3 { [%eval 0.18] } 4... Nf6 { [%eval 0.17] } 5. Bg5 { [%eval -0.18] } 5... Be7 { [%eval -0.14] } 6. Nd2 { [%eval -0.07] } 6... h6 { [%eval -0.16] } 7. Be3 { [%eval 0.06] } 7... O-O { [%eval 0.0] } 8. Bd3 { [%eval 0.0] } 8... d6 { [%eval 0.25] } 9. Qc2 { [%eval -0.05] } 9... Nbd7 { [%eval -0.09] } 10. O-O-O { [%eval -0.38] } 10... c5 { [%eval -0.41] } 11. dxc5 { [%eval -0.89] } 11... Nxc5 { [%eval -0.96] } 12. g4 { [%eval -1.17] } 12... Nxd3+ { [%eval -1.41] } 13. Qxd3 { [%eval -1.49] } 13... d5 { [%eval -1.14] } 14. e5 { [%eval -1.16] } 14... Nd7 { [%eval -1.2] } 15. h4? { [%eval -2.47] } 15... Nc5? { [%eval -1.22] } 16. Bxc5 { [%eval -1.21] } 16... Bxc5 { [%eval -1.0] } 17. Nh3 { [%eval -1.12] } 17... Rc8?! { [%eval -0.44] } 18. Rhg1? { [%eval -3.33] } 18... a5? { [%eval -1.36] } 19. g5 { [%eval -1.02] } 19... hxg5? { [%eval 1.95] } 20. Nxg5 { [%eval 2.61] } 20... g6 { [%eval 2.74] } 21. h5?! { [%eval 1.91] } 21... f5?? { [%eval 8.9] } 22. exf6?? { [%eval 2.43] } 22... Qxf6? { [%eval 4.15] } 23. Nh3?? { [%eval 1.12] } 23... Rf7?? { [%eval 10.13] } 24. Rxg6+ { [%eval 9.23] } 24... Qxg6?! { [%eval 12.89] } 25. Qxg6+ { [%eval 12.66] } 25... Rg7 { [%eval 13.12] } 26. Qxe6+ { [%eval 13.08] } 26... Kh7 { [%eval 15.36] } 27. f4 { [%eval 12.1] } 27... Ba6 { [%eval 19.53] } 28. Ng5+ { [%eval 22.57] } 28... Kh8 { [%eval 106.5] } 29. Qh6+ { [%eval 14.08] } 29... Kg8 { [%eval 14.3] } 30. Ne6 { [%eval 13.96] } 30... Rh7 { [%eval 121.07] } 31. Qg6+ { [%eval #11] } 31... Kh8 { [%eval #9] } 32. Rg1?! { [%eval 10.24] } 32... Bxg1 { [%eval 9.96] } 33. Qxg1 { [%eval 10.38] } 33... Rg8 { [%eval 17.43] } 34. Qd4+ { [%eval 26.29] } 34... Rhg7 { [%eval 60.87] } 35. h6 { [%eval 112.92] } 35... Kh7 { [%eval 109.91] } 36. hxg7 { [%eval 66.69] } 36... Bc8?! { [%eval #4] } 37. f5?! { [%eval 54.26] } 37... Bxe6 { [%eval 54.26] } 38. fxe6 { [%eval 54.32] } 38... Rxg7 { [%eval 108.91] } 39. Qxd5 { [%eval 55.62] } 39... Kg8?! { [%eval #4] } 40. e7+ { [%eval #3] } 40... Kh7 { [%eval #2] } 41. e8=N?! { [%eval 108.94] } 41... Rg1+ { [%eval 108.94] } 42. Kc2 { [%eval 60.04] } 42... b5 { [%eval 107.94] } 43. Qxb5 { [%eval 108.87] } 43... a4 { [%eval 108.94] } 44. Qxa4 { [%eval #9] } 44... Re1 { [%eval #6] } 45. Qe4+ { [%eval #13] } 45... Rxe4 { [%eval #13] } 46. Nxe4 { [%eval #10] } 46... Kg6 { [%eval #11] } 47. N8d6 { [%eval #10] } 47... Kh5 { [%eval #9] } 48. c4 { [%eval #9] } 48... Kg4 { [%eval #8] } 49. c5 { [%eval #7] } 49... Kf4 { [%eval #7] } 50. c6 { [%eval #6] } 50... Ke5 { [%eval #5] } 51. c7 { [%eval #4] } 51... Kd5 { [%eval #3] } 52. c8=N?! { [%eval #9] } 52... Ke5 { [%eval #9] } 53. Kc3 { [%eval #10] } 53... Kd5 { [%eval #10] } 54. b4 { [%eval #8] } 54... Kc6 { [%eval #8] } 55. b5+ { [%eval #7] } 55... Kc7 { [%eval #6] } 56. Kc4 { [%eval #6] } 56... Kd7 { [%eval #6] } 57. a4 { [%eval #7] } 57... Kc7 { [%eval #6] } 58. a5 { [%eval #6] } 58... Kb8 { [%eval #4] } 59. a6?! { [%eval #5] } 59... Ka8 { [%eval #3] } 60. b6 { [%eval #2] } 60... Kb8 { [%eval #2] } 61. b7?! { [%eval #4] } 61... Kc7 { [%eval #4] } 62. Nc5 { [%eval #3] } 62... Kb8 { [%eval #3] } 63. a7+ { [%eval #2] } 63... Kc7 { [%eval #2] } 64. a8=N+?! { [%eval #3] } 64... Kc6 { [%eval #1] } 65. b8=N# 1-0
0,v5JYSjs6,2014.07.01,13:56:59,gani2009,BitingSuarez,1663,1618,120+0,Rated Bullet game,1. d4 d5 2. Qd3 e5 3. dxe5 Nc6 4. Nc3 Nxe5 5. Qxd5 Qxd5 6. Nxd5 Bd6 7. f4 Nc4 8. e3 Nb6 9. Nxb6 axb6 10. Bc4 Be6 11. Bxe6 fxe6 12. Nf3 O-O-O 13. O-O h6 14. b3 g5 15. fxg5 hxg5 16. Bb2 Rh7 17. Nxg5 Bxh2+ 18. Kf2 Rh5 19. Nxe6 Rf5+ 20. Ke2 Rxf1 21. Rxf1 Re8 22. Ng7 Rd8 23. Nf5 Rf8 24. Nd4 Rxf1 25. Kxf1 Be5 26. g4 c5 27. g5 cxd4 28. exd4 Bg7 29. Kg2 Kd7 30. Kf3 Ke6 31. Kg4 Ne7 32. c4 Nc6 33. d5+ Kd7 34. Bxg7 Ne7 35. Kh5 Ng8 36. g6 Ke7 37. Kg5 Kd6 38. Bf8+ Kd7 39. g7 Ke8 40. Kg6 Ne7+ 41. Kf6 Ng8+ 42. Ke6 b5 43. d6 Kd8 44. d7 b6 45. cxb5 Nh6 46. Be7+ Kc7 47. d8=Q+ Kb7 48. Qd7+ Kb8 49. Qd6+ Kb7 50. a4 Ng8 51. Kf7 Nh6+ 52. Kf8 Nf5 53. Qf6 Nxe7 54. Qxe7+ Kb8 55. g8=Q Kc8 56. Kf7# 1-0
0,XOpgCAm9,2014.07.01,16:04:07,ali43122333,mahdi4000,1474,1372,300+8,Rated Classical game,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bc4 Bb4 5. d3 O-O 6. Bd2 d6 7. Qe2 Bg4 8. h3 Bxf3 9. gxf3 h6 10. Rg1 g6 11. Bxh6 Bxc3+ 12. bxc3 Kh7 13. Bg5 Na5 14. Bb3 Nxb3 15. cxb3 Nh5 16. Bxd8 b5 17. Bxc7 a5 18. Bxd6 Rfe8 19. f4 a4 20. fxe5 axb3 21. a3 b4 22. cxb4 Re6 23. d4 Nf4 24. Qg4 Nd3+ 25. Kd2 Nxf2 26. Qh4+ Kg7 27. Qxf2 Rc8 28. Kd1 Rc2 29. Qxc2 bxc2+ 30. Kxc2 Rxd6 31. exd6 Kf8 32. e5 Ke8 33. d5 Kd7 34. Rxg6 fxg6 35. e6+ Kxd6 36. Kd3 Kxd5 37. e7 Kd6 38. e8=Q Kd5 39. Rd1 g5 40. Kc3# 1-0
0,u3TEVX8S,2014.07.01,16:47:53,ZibbitVideos,Kingscrusher-YouTube,2306,2238,60+0,Rated Bullet game,1. d4 f5 2. e4 Nf6 3. exf5 d5 4. Bd3 c5 5. c3 Nc6 6. Ne2 Qb6 7. Nd2 cxd4 8. cxd4 Bd7 9. Nf3 Nb4 10. Bb1 Rc8 11. O-O g6 12. a3 Nc6 13. fxg6 hxg6 14. Bxg6+ Kd8 15. Ne5 Qc7 16. f4 e6 17. Be3 Bd6 18. Nf7+ Ke7 19. Nxh8 Rxh8 20. Rc1 Qb6 21. b4 a6 22. Rc3 Rg8 23. Bb1 Nd8 24. Nc1 Nf7 25. Nd3 Nh6 26. Ne5 Nf5 27. Bf2 Ne4 28. Bxe4 dxe4 29. d5 e3 30. dxe6 exf2+ 31. Rxf2 Bxe6 32. Rh3 Rg7 33. Kf1 Bxe5 34. fxe5 Ne3+ 35. Rxe3 Qxe3 36. Qe2 Qxe2+ 37. Rxe2 Bc4 38. Ke1 Bxe2 39. Kxe2 Ke6 40. Kf3 Kxe5 41. g3 Rf7+ 42. Kg4 Rc7 43. h4 Rc3 44. Kh3 Rxa3 45. h5 Ra4 46. h6 Rxb4 47. h7 Rb1 48. h8=Q+ Ke4 49. Qh7+ Ke3 50. Qxb1 b5 51. Qb4 Kd3 52. Qa5 Kc4 53. Qxa6 Kb4 54. Qb6 Kc4 55. g4 b4 56. g5 b3 57. g6 Kc3 58. Qg1 b2 59. Qb1 Kb3 60. g7 Ka3 61. g8=Q Kb4 62. Qg7 Kc5 63. Qgxb2 Kd6 64. Q2c2 Kd5 65. Qbd1+ Ke5 66. Qce2+ Kf6 67. Qdf1+ Kg5 68. Qeg2+ Kh5 69. Kh2 Kh6 70. Qfh1 Kh5 71. Kg1# 1-0
0,NIWqtTLb,2014.07.01,23:33:19,elrond,sosisamm,2146,2040,120+1,Rated Bullet game,1. Nf3 { [%eval 0.22] } 1... d5 { [%eval 0.19] } 2. d4 { [%eval 0.22] } 2... c6 { [%eval 0.39] } 3. c4 { [%eval 0.3] } 3... e6 { [%eval 0.36] } 4. Nc3 { [%eval 0.31] } 4... Nd7 { [%eval 0.44] } 5. Bg5 { [%eval 0.29] } 5... Ngf6 { [%eval 0.28] } 6. e3 { [%eval 0.32] } 6... Bb4 { [%eval 0.47] } 7. Be2 { [%eval 0.32] } 7... Qa5 { [%eval 0.39] } 8. O-O { [%eval 0.37] } 8... Bxc3 { [%eval 0.48] } 9. bxc3 { [%eval 0.12] } 9... Qxc3 { [%eval 0.43] } 10. Rc1 { [%eval 0.33] } 10... Qa5 { [%eval 0.48] } 11. cxd5 { [%eval 0.31] } 11... exd5 { [%eval 0.25] } 12. Ne5?! { [%eval -0.72] } 12... O-O? { [%eval 0.3] } 13. Bd3?! { [%eval -0.43] } 13... Qxa2?! { [%eval 0.27] } 14. Nxd7 { [%eval 0.07] } 14... Nxd7 { [%eval 0.2] } 15. Qh5 { [%eval -0.06] } 15... g6 { [%eval 0.0] } 16. Qh6?! { [%eval -0.53] } 16... Qa3 { [%eval -0.58] } 17. Rfd1 { [%eval -0.63] } 17... Qd6 { [%eval -0.21] } 18. f4?! { [%eval -1.13] } 18... f5 { [%eval -1.23] } 19. h4?! { [%eval -2.02] } 19... Nf6 { [%eval -1.97] } 20. Bxf6 { [%eval -2.05] } 20... Qxf6 { [%eval -2.07] } 21. Kf2 { [%eval -1.82] } 21... Bd7 { [%eval -1.84] } 22. Rh1 { [%eval -2.33] } 22... Be8?! { [%eval -1.7] } 23. Be2 { [%eval -2.12] } 23... Qg7 { [%eval -2.2] } 24. Qg5 { [%eval -2.23] } 24... h6 { [%eval -2.29] } 25. Qg3 { [%eval -2.17] } 25... h5 { [%eval -2.01] } 26. Rc3 { [%eval -2.25] } 26... b5 { [%eval -2.03] } 27. Rc5 { [%eval -2.47] } 27... a5 { [%eval -2.46] } 28. Rhc1 { [%eval -2.81] } 28... Qf6? { [%eval -1.75] } 29. Kf3? { [%eval -2.93] } 29... Kh7?! { [%eval -2.26] } 30. Qe1 { [%eval -2.22] } 30... Bd7 { [%eval -2.04] } 31. Qc3? { [%eval -4.08] } 31... Qe7 { [%eval -3.81] } 32. g3 { [%eval -3.42] } 32... Rfe8 { [%eval -3.08] } 33. Kf2 { [%eval -3.12] } 33... b4 { [%eval -2.91] } 34. Qb2?? { [%eval -10.07] } 34... Qxe3+ { [%eval -10.05] } 35. Kf1 { [%eval -12.98] } 35... Qxg3 { [%eval -12.93] } 36. Rxc6 { [%eval -22.83] } 36... Qxf4+ { [%eval -17.16] } 37. Ke1 { [%eval -18.19] } 37... Qxh4+ { [%eval -17.2] } 38. Kf1 { [%eval -19.42] } 38... Qf4+ { [%eval -15.72] } 39. Ke1 { [%eval -28.0] } 39... Bxc6 { [%eval -21.68] } 40. Rxc6 { [%eval -58.03] } 40... Re7 { [%eval -15.64] } 41. Qb3?! { [%eval #-6] } 41... Rae8?! { [%eval -117.39] } 42. Rc2?! { [%eval #-10] } 42... Qxd4?! { [%eval -63.96] } 43. Qf3 { [%eval -116.39] } 43... Qe4 { [%eval -16.83] } 44. Qxe4 { [%eval -62.03] } 44... Rxe4 { [%eval -28.08] } 45. Kd1 { [%eval -115.55] } 45... Rxe2 { [%eval -115.66] } 46. Rc7+ { [%eval -115.47] } 46... R8e7 { [%eval -115.47] } 47. Rc8?! { [%eval #-16] } 47... g5?! { [%eval -111.62] } 48. Kc1 { [%eval -115.39] } 48... Kg6 { [%eval -22.56] } 49. Rc6+ { [%eval -26.01] } 49... R2e6 { [%eval -21.44] } 50. Rc5 { [%eval -61.49] } 50... Re5 { [%eval -20.25] } 51. Rxa5 { [%eval -53.44] } 51... R7e6 { [%eval -17.92] } 52. Rb5 { [%eval -62.87] } 52... h4 { [%eval -60.87] } 53. Rxb4 { [%eval -105.89] } 53... g4 { [%eval -59.7] } 54. Kb2 { [%eval -119.39] } 54... g3 { [%eval -119.36] } 55. Ka3 { [%eval -110.7] } 55... Kg5 { [%eval -117.03] } 56. Rb3?! { [%eval #-9] } 56... Re3 { [%eval #-7] } 57. Ka2 { [%eval #-6] } 57... Rxb3 { [%eval #-6] } 58. Ka1 { [%eval #-1] } 58... Ree3?! { [%eval #-2] } 59. Ka2 { [%eval #-2] } 59... Rbd3?! { [%eval #-3] } 60. Kb2 { [%eval #-3] } 60... Rc3?! { [%eval #-3] } 61. Ka2 { [%eval #-3] } 61... f4?! { [%eval #-3] } 62. Kb2 { [%eval #-3] } 62... f3?! { [%eval #-3] } 63. Ka2 { [%eval #-3] } 63... d4?! { [%eval #-3] } 64. Kb2 { [%eval #-3] } 64... Re1?! { [%eval #-3] } 65. Ka2 { [%eval #-3] } 65... Rec1?! { [%eval #-3] } 66. Kb2 { [%eval #-3] } 66... f2 { [%eval #-2] } 67. Ka2 { [%eval #-2] } 67... f1=R { [%eval #-1] } 68. Kb2 { [%eval #-1] } 68... g2?! { [%eval #-1] } 69. Ka2 { [%eval #-1] } 69... g1=R?! { [%eval #-1] } 70. Kb2 { [%eval #-1] } 70... h3?! { [%eval #-1] } 71. Ka2 { [%eval #-1] } 71... h2?! { [%eval #-1] } 72. Kb2 { [%eval #-1] } 72... h1=R?! { [%eval #-1] } 73. Ka2 { [%eval #-1] } 73... Rfd1?! { [%eval #-1] } 74. Kb2 { [%eval #-1] } 74... Rgg3?! { [%eval #-1] } 75. Ka2 { [%eval #-1] } 75... d3?! { [%eval #-1] } 76. Kb2 { [%eval #-1] } 76... d2?! { [%eval #-1] } 77. Ka2 { [%eval #-1] } 77... Rde1?! { [%eval #-1] } 78. Kb2 { [%eval #-1] } 78... d1=R?! { [%eval #-1] } 79. Ka2 { [%eval #-1] } 79... Rdd3?! { [%eval #-1] } 80. Kb2 { [%eval #-1] } 80... Rde3?! { [%eval #-1] } 81. Ka2 { [%eval #-1] } 81... Rcd1?! { [%eval #-1] } 82. Kb2 { [%eval #-1] } 82... Rcd3?! { [%eval #-1] } 83. Kc2 { [%eval #-1] } 83... Rhg1?! { [%eval #-1] } 84. Kb2 { [%eval #-1] } 84... Kf4?! { [%eval #-1] } 85. Kc2 { [%eval #-1] } 85... Kf3?! { [%eval #-1] } 86. Kb2 { [%eval #-1] } 86... Ke2?! { [%eval #-1] } 87. Kc2 { [%eval #-1] } 87... R1g2?! { [%eval #-1] } 88. Kb2 { [%eval #-1] } 88... Rgf3?! { [%eval #-1] } 89. Kc2 { [%eval #-1] } 89... Rff2?! { [%eval #-1] } 90. Kb2 { [%eval #-1] } 90... Kd2?! { [%eval #-2] } 91. Ka2 { [%eval #-2] } 91... R3e2 { [%eval #-1] } 92. Kb2 { [%eval #-1] } 92... Rh1?! { [%eval #-1] } 93. Ka2 { [%eval #-1] } 93... Rhh2?! { [%eval #-1] } 94. Kb2 { [%eval #-1] } 94... Ke3# 0-1
2,IMcgf6HL,2014.07.03,01:32:00,TheLlamaLord,k2052,1604,1702,60+0,Rated Bullet game,1. d3 g6 2. c4 Bg7 3. Nc3 d6 4. g3 Nf6 5. Bg2 O-O 6. Nf3 c5 7. O-O Nc6 8. e3 Rb8 9. Ng5 Bd7 10. Nge4 Nxe4 11. Bxe4 a6 12. Bd2 b5 13. cxb5 axb5 14. Rb1 b4 15. Na4 Ra8 16. b3 Ne5 17. Qc2 Bg4 18. Nb2 Nf3+ 19. Kg2 Qd7 20. Bxf3 Bxf3+ 21. Kxf3 Qc6+ 22. Ke2 Rxa2 23. d4 Qa6+ 24. Qd3 Qa3 25. Nc4 Qa6 26. f3 cxd4 27. exd4 d5 28. Ne5 Qxd3+ 29. Nxd3 e6 30. Nxb4 Ra3 31. Nc6 Rc8 32. Ne7+ Kf8 33. Nxc8 Ke8 34. b4 Kd7 35. b5 Kxc8 36. b6 Kb7 37. Rfc1 Ra8 38. Rc7+ Ka6 39. b7 Ra7 40. b8=N# 1-0
0,2lob6Gbv,2014.07.03,14:47:35,medieval-knight,wergiliusz,1872,1918,120+0,Rated Bullet game,1. d4 { [%eval 0.23] } 1... d5 { [%eval 0.24] } 2. c4 { [%eval 0.2] } 2... c6 { [%eval 0.4] } 3. Nf3 { [%eval 0.34] } 3... Nf6 { [%eval 0.36] } 4. e3 { [%eval 0.38] } 4... g6 { [%eval 0.45] } 5. Nc3 { [%eval 0.45] } 5... Bg7 { [%eval 0.48] } 6. Bd3 { [%eval 0.36] } 6... O-O { [%eval 0.29] } 7. O-O { [%eval 0.25] } 7... Bg4 { [%eval 0.39] } 8. h3 { [%eval 0.5] } 8... Bxf3 { [%eval 0.41] } 9. Qxf3 { [%eval 0.4] } 9... dxc4 { [%eval 0.43] } 10. Bxc4 { [%eval 0.32] } 10... Nd5? { [%eval 1.43] } 11. Nxd5 { [%eval 1.39] } 11... cxd5 { [%eval 1.35] } 12. Qxd5 { [%eval 1.14] } 12... Qxd5 { [%eval 1.36] } 13. Bxd5 { [%eval 1.35] } 13... Nc6 { [%eval 1.42] } 14. Bd2 { [%eval 1.27] } 14... e6 { [%eval 1.51] } 15. Bf3 { [%eval 1.57] } 15... Rfd8 { [%eval 1.61] } 16. Rac1 { [%eval 1.61] } 16... Rac8 { [%eval 1.57] } 17. a3 { [%eval 1.44] } 17... a6 { [%eval 1.55] } 18. Rc2? { [%eval -0.44] } 18... b5?? { [%eval 5.34] } 19. Rfc1? { [%eval 3.03] } 19... Na7 { [%eval 3.24] } 20. Ba5 { [%eval 3.3] } 20... Rxc2 { [%eval 3.41] } 21. Rxc2 { [%eval 3.35] } 21... Rc8 { [%eval 3.31] } 22. Rxc8+ { [%eval 3.07] } 22... Nxc8 { [%eval 3.15] } 23. Bb7 { [%eval 3.2] } 23... Nd6 { [%eval 3.06] } 24. Bxa6 { [%eval 3.1] } 24... Bf8 { [%eval 3.06] } 25. Bc7 { [%eval 2.7] } 25... Be7 { [%eval 2.81] } 26. Bxd6?! { [%eval 1.87] } 26... Bxd6 { [%eval 1.9] } 27. Bxb5 { [%eval 1.94] } 27... f6 { [%eval 2.06] } 28. Kf1 { [%eval 2.01] } 28... Kf7 { [%eval 2.01] } 29. Ke2 { [%eval 2.15] } 29... Ke7 { [%eval 2.15] } 30. Kd3 { [%eval 2.13] } 30... Kd8 { [%eval 2.28] } 31. Kc4 { [%eval 2.23] } 31... Kc7 { [%eval 2.25] } 32. Be8 { [%eval 2.09] } 32... g5 { [%eval 2.37] } 33. b4 { [%eval 2.39] } 33... Kb6 { [%eval 2.76] } 34. a4 { [%eval 2.74] } 34... h6 { [%eval 2.9] } 35. e4 { [%eval 3.15] } 35... Bc7 { [%eval 3.2] } 36. Bd7 { [%eval 3.44] } 36... e5 { [%eval 4.28] } 37. d5 { [%eval 4.31] } 37... Bd6? { [%eval 5.41] } 38. Bc8? { [%eval 3.97] } 38... h5?? { [%eval 7.02] } 39. a5+ { [%eval 6.79] } 39... Kc7 { [%eval 8.04] } 40. Be6?? { [%eval 4.75] } 40... Kb7 { [%eval 4.43] } 41. b5 { [%eval 3.99] } 41... h4?? { [%eval 9.86] } 42. f3?? { [%eval 6.34] } 42... Kc7?? { [%eval #9] } 43. b6+ { [%eval #8] } 43... Kb7 { [%eval #8] } 44. Kb5 { [%eval #6] } 44... Ba3 { [%eval #6] } 45. a6+ { [%eval #5] } 45... Kb8 { [%eval #5] } 46. Kc6 { [%eval #4] } 46... Bb2 { [%eval #3] } 47. d6?! { [%eval #3] } 47... Ba3 { [%eval #3] } 48. d7?! { [%eval #3] } 48... Be7 { [%eval #3] } 49. Bd5 { [%eval #2] } 49... Ka8 { [%eval #1] } 50. Kc7# 1-0
0,cu0NBFao,2014.07.03,15:35:58,perebor40,ali93,1653,1445,600+9,Rated Classical game,1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Be2 a6 5. O-O Bd6 6. Re1 O-O 7. d4 h6 8. d5 Ne7 9. a3 c6 10. dxc6 Qc7 11. cxd7 Bxd7 12. Bd3 Bg4 13. h3 Bxh3 14. gxh3 Qd7 15. Kh2 Nh5 16. Rg1 f5 17. Nh4 Nf4 18. Bxf4 exf4 19. Qf3 fxe4 20. Bxe4 g5 21. Rad1 Qe6 22. Nd5 Kh8 23. Nxe7 Bxe7 24. Ng6+ Kg7 25. Nxf8 Rxf8 26. Bxb7 g4 27. Qxg4+ Qxg4 28. Rxg4+ Bg5 29. h4 f3 30. hxg5 hxg5 31. Rxg5+ Kh6 32. Rg3 Kh5 33. Rh1 Re8 34. Kg1# 1-0
0,9O6j5l1R,2014.07.03,17:40:07,ElCampechano,dreamwalker3,1654,1994,60+0,Rated Bullet game,1. e4 { [%eval 0.13] } 1... c5 { [%eval 0.33] } 2. Nc3 { [%eval 0.31] } 2... Nc6 { [%eval 0.36] } 3. d3 { [%eval -0.07] } 3... e6 { [%eval -0.03] } 4. Be3 { [%eval -0.33] } 4... d5 { [%eval -0.25] } 5. exd5 { [%eval -0.28] } 5... exd5 { [%eval -0.31] } 6. d4 { [%eval -0.31] } 6... Nf6 { [%eval -0.41] } 7. Nge2 { [%eval -0.04] } 7... Ng4 { [%eval -0.06] } 8. Nf4 { [%eval -0.35] } 8... Nxe3 { [%eval -0.42] } 9. fxe3 { [%eval -0.43] } 9... Bd6 { [%eval -0.3] } 10. Nfxd5?! { [%eval -1.13] } 10... O-O?! { [%eval -0.2] } 11. Bc4? { [%eval -1.73] } 11... Qh4+ { [%eval -1.39] } 12. g3?! { [%eval -2.14] } 12... Bxg3+ { [%eval -2.39] } 13. hxg3 { [%eval -2.72] } 13... Qxh1+ { [%eval -2.58] } 14. Kd2 { [%eval -2.58] } 14... Qg2+?! { [%eval -1.82] } 15. Qe2 { [%eval -1.86] } 15... Qxg3?! { [%eval -1.2] } 16. Rf1? { [%eval -3.33] } 16... cxd4 { [%eval -3.21] } 17. exd4 { [%eval -3.39] } 17... Nxd4 { [%eval -3.25] } 18. Qe3?! { [%eval -3.83] } 18... Qxe3+ { [%eval -3.76] } 19. Kxe3 { [%eval -3.81] } 19... Nxc2+?! { [%eval -3.09] } 20. Kd2? { [%eval -4.45] } 20... Nd4 { [%eval -4.39] } 21. Ne7+ { [%eval -4.29] } 21... Kh8 { [%eval -4.47] } 22. Rxf7?! { [%eval -5.01] } 22... Rxf7 { [%eval -4.91] } 23. Bxf7 { [%eval -4.9] } 23... Be6 { [%eval -5.13] } 24. Bxe6 { [%eval -5.12] } 24... Nxe6 { [%eval -5.01] } 25. Ncd5?! { [%eval -5.8] } 25... Rd8 { [%eval -5.79] } 26. Kc3 { [%eval -6.21] } 26... Nc5? { [%eval -5.0] } 27. Kb4 { [%eval -5.25] } 27... Nd3+ { [%eval -5.5] } 28. Kb5?! { [%eval -6.29] } 28... Nxb2 { [%eval -6.35] } 29. a4 { [%eval -6.82] } 29... a6+ { [%eval -6.83] } 30. Kb6?! { [%eval -7.55] } 30... Nc4+? { [%eval -5.37] } 31. Kxb7 { [%eval -5.37] } 31... Nd6+? { [%eval -4.28] } 32. Kxa6?! { [%eval -4.81] } 32... Nf7? { [%eval -2.17] } 33. Kb6 { [%eval -2.3] } 33... Rd6+ { [%eval -2.16] } 34. Kb7? { [%eval -4.7] } 34... Rd8?? { [%eval 0.0] } 35. a5? { [%eval -1.81] } 35... Rf8? { [%eval 0.0] } 36. a6 { [%eval 0.0] } 36... Re8 { [%eval 0.04] } 37. a7 { [%eval 0.01] } 37... Rxe7+?? { [%eval 105.98] } 38. Nxe7 { [%eval 68.08] } 38... Nd6+?! { [%eval #8] } 39. Kb8?! { [%eval 49.09] } 39... Nb5?! { [%eval #3] } 40. a8=Q { [%eval #2] } 40... Nc7 { [%eval #1] } 41. Kxc7# 1-0
