number,path,date,time,white,black,white elo,black elo,time control,event,moves
5,EZN9tDzu,2015.12.01,13:05:47,Lisar,ROMANLA,1727,1386,300+0,Rated Blitz tournament https://lichess.org/tournament/Id4Bpgyg,1. f4 Nc6 2. d4 d5 3. Nf3 Bg4 4. e3 e6 5. c3 Bd6 6. Bd3 Nf6 7. O-O Qe7 8. Qc2 Bxf3 9. Rxf3 O-O-O 10. b4 b6 11. a4 Ng4 12. h3 Nf6 13. Nd2 h5 14. Nb3 Kd7 15. Nd2 Ke8 16. Nf1 Nh7 17. Ng3 f6 18. Nxh5 Ng5 19. Bg6+ Nf7 20. Nxg7+ Kd7 21. Nh5 Rh6 22. Ng3 f5 23. Bxf7 Qxf7 24. Nf1 Qg6 25. Qe2 Rg8 26. a5 Rh7 27. axb6 axb6 28. Ra2 Rhg7 29. Kh1 Rh8 30. Rg3 Qh6 31. Rxg7+ Qxg7 32. Qf3 Rg8 33. Kh2 Ne7 34. Ra7 Ng6 35. Qe2 Nh4 36. g3 Bxb4 37. cxb4 Kd6 38. Bd2 Kc6 39. Be1 Ng6 40. Qc2+ Kd6 41. b5 Qd7 42. Bb4+ c5 43. bxc6# 1-0
0,9bZDWOmp,2015.12.01,13:13:17,guivns,Corinthiano0407,1473,1576,60+1,Rated Bullet game,1. e4 { [%eval 0.26] } 1... e6 { [%eval 0.22] } 2. Qf3 { [%eval -0.26] } 2... a6 { [%eval 0.0] } 3. Bc4 { [%eval -0.41] } 3... b5 { [%eval -0.21] } 4. Nh3?? { [%eval -3.26] } 4... bxc4 { [%eval -3.27] } 5. Nf4 { [%eval -3.51] } 5... Bb7 { [%eval -3.6] } 6. d3 { [%eval -3.64] } 6... cxd3 { [%eval -3.55] } 7. Nxd3?! { [%eval -4.16] } 7... Nf6 { [%eval -3.81] } 8. Ne5? { [%eval -5.43] } 8... Bxe4 { [%eval -5.37] } 9. Qe3?! { [%eval -5.94] } 9... Bxc2?! { [%eval -5.35] } 10. Qf3?! { [%eval -6.1] } 10... Be4 { [%eval -6.01] } 11. Qe3? { [%eval -7.08] } 11... Bd5? { [%eval -5.74] } 12. Nc3? { [%eval -6.93] } 12... Bc6? { [%eval -5.3] } 13. Nxc6 { [%eval -5.64] } 13... Nxc6 { [%eval -5.56] } 14. Qf3 { [%eval -5.69] } 14... Be7 { [%eval -5.55] } 15. Qxc6?? { [%eval -12.26] } 15... dxc6 { [%eval -12.23] } 16. Ne4 { [%eval -17.91] } 16... Nxe4 { [%eval -17.93] } 17. f3?! { [%eval #-7] } 17... Bh4+?! { [%eval -25.63] } 18. g3 { [%eval -26.01] } 18... Nxg3 { [%eval -29.66] } 19. hxg3 { [%eval -59.15] } 19... Bxg3+ { [%eval #-16] } 20. Kf1 { [%eval #-11] } 20... Qd3+?! { [%eval -22.46] } 21. Kg2 { [%eval -21.03] } 21... Be5 { [%eval -20.81] } 22. Bg5?! { [%eval #-5] } 22... h6?! { [%eval -20.38] } 23. Rad1?! { [%eval #-9] } 23... Qe2+ { [%eval #-8] } 24. Kh3 { [%eval #-2] } 24... hxg5+ { [%eval #-1] } 25. Kg4 { [%eval #-1] } 25... f5+?! { [%eval #-1] } 26. Kxg5 { [%eval #-1] } 26... Bf6+?! { [%eval #-1] } 27. Kg6 { [%eval #-1] } 27... Rxh1?! { [%eval #-3] } 28. Rxh1 { [%eval #-3] } 28... Qg2+ { [%eval #-2] } 29. Kh7 { [%eval #-2] } 29... Qxh1+ { [%eval #-1] } 30. Kg8 { [%eval #-1] } 30... Ke7# 0-1
0,cfv8cf89,2015.12.01,13:38:54,SonicXplus,Anton020472,1332,1254,720+12,Rated Classical game,1. d4 d6 2. e4 Nf6 3. e5 dxe5 4. dxe5 Qxd1+ 5. Kxd1 Ne4 6. Bd3 Nxf2+ 7. Kd2 Nxh1 8. Ke1 e6 9. Nf3 Bb4+ 10. c3 Ba5 11. b4 Bb6 12. Na3 Nf2 13. Bb5+ c6 14. Ba4 Nd3+ 15. Kd2 Nf4 16. Kc2 O-O 17. Bxf4 c5 18. bxc5 Bxc5 19. Nb5 Nc6 20. Nc7 Rb8 21. Rb1 b6 22. Bxc6 g6 23. Bh6 Rd8 24. Bg5 Rf8 25. Rb5 Kg7 26. Nh4 h6 27. Bf6+ Kh7 28. Nf3 Bf2 29. Be4 Ba6 30. Rb2 Bc4 31. Kb1 Rfc8 32. Nxe6 Bxe6 33. Rxf2 Rxc3 34. Rc2 Re3 35. Bc6 Rd8 36. Bxd8 Bf5 37. Ba4 Ra3 38. Kb2 Rxa4 39. Rc7 Rb4+ 40. Kc3 Rb5 41. Nd4 Rxe5 42. Rxf7+ Kg8 43. Rxa7 Re3+ 44. Kd2 Rd3+ 45. Ke1 Rxd4 46. Bxb6 Re4+ 47. Kf2 Rf4+ 48. Kg3 Rg4+ 49. Kf3 Rb4 50. Ba5 Ra4 51. Ra8+ Kf7 52. Ra7+ Ke6 53. Ra6+ Ke5 54. Bc3+ Rd4 55. Bxd4+ Kxd4 56. g4 Be4+ 57. Kf4 g5+ 58. Kg3 Bc6 59. Rxc6 h5 60. gxh5 Ke3 61. h6 Kd4 62. h7 Kd5 63. Ra6 Kc5 64. h8=Q Kb5 65. Ra8 Kc4 66. Rc8+ Kd3 67. Qd8+ Ke3 68. Kg4 Ke4 69. Kxg5 Kf3 70. h4 Kg3 71. h5 Kf3 72. a4 Ke4 73. a5 Ke5 74. a6 Ke6 75. a7 Ke5 76. h6 Ke4 77. h7 Kf3 78. a8=R Kg3 79. h8=Q Kg2 80. Qdf6 Kg3 81. Rg8 Kg2 82. Kh6+ Kh2 83. Qg5 Kh3 84. Ra6 Kh2 85. Kg6# 1-0
2,GvGsezQq,2015.12.01,14:13:16,AustinIsAGamer,angryfrog,1477,926,60+1,Rated Bullet game,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. a4 b5 6. axb5 Bg4 7. bxc6 Bxf3 8. exf3 Nxc6 9. Bxc4 Nxd4 10. Be3 g6 11. Bxd4 h5 12. Bxf6 Bg7 13. Bxg7 Qxd1+ 14. Rxd1 Rf8 15. Bxf8 Kxf8 16. Bd5 e6 17. Bxa8 a6 18. O-O a5 19. Rd8+ Kg7 20. Rfd1 Kf6 21. g4 Kg7 22. gxh5 Kf6 23. Kh1 Kg7 24. hxg6 Kf6 25. g7 Ke7 26. g8=N# 1-0
0,HM0y78l0,2015.12.01,16:42:40,ilooliilooli,Vlada83,1844,1840,180+0,Rated Blitz game,1. e4 e5 2. Bc4 Nf6 3. d3 Bc5 4. Be3 Bxe3 5. fxe3 Nc6 6. Ne2 Na5 7. Bb3 Nxb3 8. axb3 d6 9. O-O O-O 10. Nbc3 c6 11. Ng3 b5 12. Nce2 Bg4 13. Qd2 h6 14. d4 exd4 15. exd4 Qb6 16. c3 Rfe8 17. Qd3 Bxe2 18. Qxe2 Nd7 19. Kh1 c5 20. Qf2 Rf8 21. Nf5 Nf6 22. e5 dxe5 23. dxe5 Ne4 24. Qf3 Ng5 25. Qg3 g6 26. Nxh6+ Kg7 27. Qxg5 Rh8 28. Nf5+ Kf8 29. Qe7+ Kg8 30. Nd6 Rf8 31. Rxf7 Rxh2+ 32. Kxh2 Rxf7 33. Qxf7+ Kh8 34. Rh1 c4 35. Kg3# 1-0
0,diaGEa6b,2015.12.01,17:45:54,NikitaZ,knopka,1473,1608,120+0,Rated Bullet game,1. e4 { [%eval 0.13] } 1... g6 { [%eval 0.54] } 2. d4 { [%eval 0.56] } 2... Bg7 { [%eval 0.56] } 3. Nf3 { [%eval 0.62] } 3... c5 { [%eval 1.08] } 4. dxc5 { [%eval 1.11] } 4... Qa5+ { [%eval 0.75] } 5. Bd2 { [%eval 0.41] } 5... Qxc5 { [%eval 0.48] } 6. Nc3 { [%eval 0.42] } 6... Nf6 { [%eval 0.42] } 7. Bd3 { [%eval 0.39] } 7... O-O { [%eval 0.36] } 8. O-O { [%eval 0.39] } 8... Qc7 { [%eval 0.43] } 9. e5 { [%eval 0.95] } 9... Ng4 { [%eval 0.62] } 10. Re1 { [%eval 0.22] } 10... Nxe5? { [%eval 1.92] } 11. Nxe5 { [%eval 1.86] } 11... Bxe5 { [%eval 1.89] } 12. Qf3? { [%eval 0.0] } 12... Bxh2+? { [%eval 1.24] } 13. Kh1 { [%eval 0.96] } 13... Be5?? { [%eval 5.34] } 14. Qh3?? { [%eval -1.05] } 14... Bf6? { [%eval 0.99] } 15. Rab1? { [%eval -0.31] } 15... d6 { [%eval 0.07] } 16. Ne4?? { [%eval -8.63] } 16... Bxh3 { [%eval -8.87] } 17. gxh3 { [%eval -8.98] } 17... Be5 { [%eval -8.86] } 18. Bc3?! { [%eval -9.62] } 18... Bxc3 { [%eval -9.48] } 19. Nxc3 { [%eval -9.41] } 19... Nc6 { [%eval -9.39] } 20. Rg1 { [%eval -9.81] } 20... Nd4 { [%eval -9.63] } 21. Rbc1 { [%eval -10.25] } 21... Nf3 { [%eval -9.87] } 22. Rg3 { [%eval -9.74] } 22... Ne5 { [%eval -9.74] } 23. Be2 { [%eval -10.91] } 23... Qc6+ { [%eval -10.01] } 24. Kh2 { [%eval -10.74] } 24... h5?! { [%eval -9.39] } 25. Rcg1 { [%eval -9.53] } 25... h4 { [%eval -9.58] } 26. Rg5 { [%eval -10.51] } 26... Nf3+ { [%eval -10.33] } 27. Bxf3 { [%eval -10.68] } 27... Qxf3 { [%eval -10.38] } 28. Nd1 { [%eval -10.86] } 28... Rac8 { [%eval -11.92] } 29. Ne3 { [%eval -17.88] } 29... Qxf2+ { [%eval -17.89] } 30. R5g2 { [%eval -18.36] } 30... Qxe3 { [%eval -15.32] } 31. Kh1?! { [%eval #-6] } 31... Qe5?! { [%eval -15.24] } 32. c3 { [%eval -16.15] } 32... Qe3 { [%eval -15.84] } 33. a3?! { [%eval #-9] } 33... Qxh3+ { [%eval #-8] } 34. Rh2 { [%eval #-8] } 34... Qf3+ { [%eval #-7] } 35. Rhg2 { [%eval #-7] } 35... Kh7?! { [%eval -19.01] } 36. b3?! { [%eval #-5] } 36... Rxc3 { [%eval #-4] } 37. b4 { [%eval #-4] } 37... Rxa3?! { [%eval #-4] } 38. b5 { [%eval #-4] } 38... Rb3?! { [%eval #-4] } 39. b6 { [%eval #-4] } 39... Rxb6?! { [%eval #-8] } 40. Kh2 { [%eval #-8] } 40... Rb3 { [%eval #-7] } 41. Kh1 { [%eval #-4] } 41... h3?! { [%eval #-4] } 42. Re1 { [%eval #-1] } 42... hxg2+?! { [%eval #-3] } 43. Kg1 { [%eval #-3] } 43... Rh8 { [%eval #-2] } 44. Rxe7 { [%eval #-2] } 44... Rb1+?! { [%eval #-2] } 45. Kh2 { [%eval #-1] } 45... Kg7# 0-1
4,Pi6KHPGc,2015.12.01,20:16:02,FANCHETO,xmark,1416,1188,10800+15,Rated Classical game,1. e4 Nf6 2. Nf3 Nxe4 3. Bc4 d5 4. Bb3 e6 5. Nc3 Bc5 6. d4 Bb6 7. Bf4 Nc6 8. Ba4 f6 9. Be5 fxe5 10. Nxe5 Bd7 11. Qh5+ g6 12. Nxg6 Rg8 13. Ne5+ Ke7 14. Qf7+ Kd6 15. Nxe4+ dxe4 16. Nc4+ Kd5 17. Qh5+ Kxc4 18. Qb5+ Kxd4 19. O-O-O# 1-0
0,hiUCrWM4,2015.12.01,20:30:20,Nightwolf_7,NourN17,1406,1455,300+0,Rated Blitz game,1. e4 e5 2. f4 exf4 3. Nf3 d5 4. d4 dxe4 5. Ne5 e3 6. Qf3 g5 7. h4 f6 8. Nf7 Kxf7 9. Qh5+ Ke7 10. Bc4 Be6 11. d5 Bxd5 12. Bxd5 Qxd5 13. Nc3 Qxg2 14. Nd5+ Kd6 15. Rf1 Qxd5 16. Bxe3 Qe5 17. Rd1+ Kc6 18. Qf3+ Kb5 19. Qxb7+ Ka5 20. Rd5+ Ka4 21. b3+ Ka3 22. Rxe5 fxe5 23. Qb5 fxe3 24. Qa4+ Kb2 25. Kd1 Bd6 26. b4 Nd7 27. Qb3+ Ka1 28. Ke2# 1-0
0,kmNXSo5z,2015.12.01,20:33:46,JustKid,pianoguy,2197,1793,60+0,Rated Bullet tournament https://lichess.org/tournament/9g68agid,1. d4 g6 2. c4 Bg7 3. Nc3 d6 4. Nf3 e5 5. dxe5 dxe5 6. Qxd8+ Kxd8 7. Bg5+ f6 8. O-O-O+ Nd7 9. Bd2 h6 10. e4 Ne7 11. Bd3 b6 12. b4 Bb7 13. Kb2 f5 14. Rhe1 fxe4 15. Bxe4 Bxe4 16. Nxe4 Nf5 17. Bc3 Ke7 18. Rd5 Rad8 19. Red1 Rhe8 20. b5 g5 21. Bb4+ Kf7 22. h4 Nd4 23. Nxd4 exd4 24. hxg5 hxg5 25. Nxg5+ Kg8 26. Rd3 Ne5 27. Rg3 d3 28. Rxd8 Nxc4+ 29. Kb3 Rxd8 30. Ne6 Rd7 31. Nxg7 Rxg7 32. Rxd3 Nd6 33. Rd2 Rd7 34. Bxd6 Rxd6 35. Rxd6 cxd6 36. Kc4 Kf7 37. Kd5 Ke7 38. g4 Kd7 39. g5 Ke7 40. g6 Kf8 41. Kxd6 Kg7 42. Kc7 Kxg6 43. Kb7 Kf5 44. Kxa7 Ke4 45. Kxb6 Kf3 46. a4 Kxf2 47. a5 Ke2 48. a6 Kd2 49. a7 Ke3 50. a8=Q Kd3 51. Ka7 Kc3 52. b6 Kb4 53. b7 Kb5 54. b8=Q+ Ka5 55. Qbb7 Ka4 56. Kb8# 1-0
0,iB8Tfdim,2015.12.01,20:36:22,azp11,Glopper,1391,1261,600+0,Rated Classical tournament https://lichess.org/tournament/jgolDTkS,1. e3 Nf6 2. c3 e5 3. Qb3 d5 4. c4 c6 5. cxd5 cxd5 6. Qb5+ Nbd7 7. g3 a6 8. Qd3 Bc5 9. Bg2 Nb6 10. f3 d4 11. exd4 Bxd4 12. f4 Bf2+ 13. Kxf2 Qxd3 14. Nc3 Qd4+ 15. Ke1 Qd6 16. Nf3 Ng4 17. h3 Nh6 18. Nxe5 O-O 19. g4 Re8 20. Ne4 Qd5 21. Nf6+ gxf6 22. Bxd5 Nxd5 23. Kf2 Nxf4 24. Nc4 Re2+ 25. Kf3 Be6 26. Kxf4 Bxc4 27. a3 Rae8 28. b4 Re1 29. Rxe1 Rxe1 30. g5 Rf1+ 31. Kg3 fxg5 32. h4 Nf5+ 33. Kg4 Be6 34. Kxg5 Nd4 35. d3 Rg1+ 36. Kf4 Rf1+ 37. Ke3 Nf5+ 38. Ke2 Rh1 39. Kd2 Nxh4 40. Kc2 Nf5 41. Kb2 Nd4 42. Be3 Rxa1 43. Kxa1 Nc2+ 44. Kb2 Nxe3 45. Kc3 h5 46. d4 Nd5+ 47. Kd3 Bf5+ 48. Kc4 Ne3+ 49. Kc5 h4 50. d5 h3 51. d6 h2 52. Kd4 h1=Q 53. Ke5 Qh2+ 54. Kf6 Qh8+ 55. Ke7 Nd5+ 56. Ke8 Kg7# 0-1
